ID_Vehiculo,Matricula,Categoria_Vehiculo
1,AUT-00001,Autobus
2,AUT-00002,Autobus
3,AUT-00003,Autobus
4,AUT-00004,Autobus
5,AUT-00005,Autobus
6,AUT-00006,Autobus
7,AUT-00007,Autobus
8,AUT-00008,Autobus
9,AUT-00009,Autobus
10,AUT-00010,Autobus
11,AUT-00011,Autobus
12,AUT-00012,Autobus
13,AUT-00013,Autobus
14,AUT-00014,Autobus
15,AUT-00015,Autobus
16,AUT-00016,Autobus
17,AUT-00017,Autobus
18,AUT-00018,Autobus
19,AUT-00019,Autobus
20,AUT-00020,Autobus
21,AUT-00021,Autobus
22,AUT-00022,Autobus
23,AUT-00023,Autobus
24,AUT-00024,Autobus
25,AUT-00025,Autobus
26,AUT-00026,Autobus
27,AUT-00027,Autobus
28,AUT-00028,Autobus
29,AUT-00029,Autobus
30,AUT-00030,Autobus
31,AUT-00031,Autobus
32,AUT-00032,Autobus
33,AUT-00033,Autobus
34,AUT-00034,Autobus
35,AUT-00035,Autobus
36,AUT-00036,Autobus
37,AUT-00037,Autobus
38,AUT-00038,Autobus
39,AUT-00039,Autobus
40,AUT-00040,Autobus
41,AUT-00041,Autobus
42,AUT-00042,Autobus
43,AUT-00043,Autobus
44,AUT-00044,Autobus
45,AUT-00045,Autobus
46,AUT-00046,Autobus
47,AUT-00047,Autobus
48,AUT-00048,Autobus
49,AUT-00049,Autobus
50,AUT-00050,Autobus
51,AUT-00051,Autobus
52,AUT-00052,Autobus
53,AUT-00053,Autobus
54,AUT-00054,Autobus
55,AUT-00055,Autobus
56,AUT-00056,Autobus
57,AUT-00057,Autobus
58,AUT-00058,Autobus
59,AUT-00059,Autobus
60,AUT-00060,Autobus
61,AUT-00061,Autobus
62,AUT-00062,Autobus
63,AUT-00063,Autobus
64,AUT-00064,Autobus
65,AUT-00065,Autobus
66,AUT-00066,Autobus
67,AUT-00067,Autobus
68,AUT-00068,Autobus
69,AUT-00069,Autobus
70,AUT-00070,Autobus
71,AUT-00071,Autobus
72,AUT-00072,Autobus
73,AUT-00073,Autobus
74,AUT-00074,Autobus
75,AUT-00075,Autobus
76,AUT-00076,Autobus
77,AUT-00077,Autobus
78,AUT-00078,Autobus
79,AUT-00079,Autobus
80,AUT-00080,Autobus
81,AUT-00081,Autobus
82,AUT-00082,Autobus
83,AUT-00083,Autobus
84,AUT-00084,Autobus
85,AUT-00085,Autobus
86,AUT-00086,Autobus
87,AUT-00087,Autobus
88,AUT-00088,Autobus
89,AUT-00089,Autobus
90,AUT-00090,Autobus
91,AUT-00091,Autobus
92,AUT-00092,Autobus
93,AUT-00093,Autobus
94,AUT-00094,Autobus
95,AUT-00095,Autobus
96,AUT-00096,Autobus
97,AUT-00097,Autobus
98,AUT-00098,Autobus
99,AUT-00099,Autobus
100,AUT-00100,Autobus
101,AUT-00101,Autobus
102,AUT-00102,Autobus
103,AUT-00103,Autobus
104,AUT-00104,Autobus
105,AUT-00105,Autobus
106,AUT-00106,Autobus
107,AUT-00107,Autobus
108,AUT-00108,Autobus
109,AUT-00109,Autobus
110,AUT-00110,Autobus
111,AUT-00111,Autobus
112,AUT-00112,Autobus
113,AUT-00113,Autobus
114,AUT-00114,Autobus
115,AUT-00115,Autobus
116,AUT-00116,Autobus
117,AUT-00117,Autobus
118,AUT-00118,Autobus
119,AUT-00119,Autobus
120,AUT-00120,Autobus
121,AUT-00121,Autobus
122,AUT-00122,Autobus
123,AUT-00123,Autobus
124,AUT-00124,Autobus
125,AUT-00125,Autobus
126,AUT-00126,Autobus
127,AUT-00127,Autobus
128,AUT-00128,Autobus
129,AUT-00129,Autobus
130,AUT-00130,Autobus
131,AUT-00131,Autobus
132,AUT-00132,Autobus
133,AUT-00133,Autobus
134,AUT-00134,Autobus
135,AUT-00135,Autobus
136,AUT-00136,Autobus
137,AUT-00137,Autobus
